Ticker,MA_Final,MR_Final,AD_Final,MA_Sharpe,MR_Sharpe,AD_Sharpe
FCX,10922.92020056153,10720.026864780426,10922.92020056153,0.4304147927269362,0.3426079768306217,0.4304147927269362
GRMN,8699.134349533084,12251.099329727174,8699.134349533084,-0.6709030027603811,1.0136618032983538,-0.6709030027603811
IT,10551.031354034421,6798.9674374389615,6798.9674374389615,0.4768906403480484,-1.3739899408796057,-1.3739899408796057
GE,10908.67810108948,10305.609367538444,10305.609367538444,0.4827284325317022,0.2444085022570731,0.2444085022570731
GEHC,8900.646899925237,12131.670779991146,12131.670779991146,-0.6760708102505366,1.1084856543639405,1.1084856543639405
GEV,14766.802471588135,12034.48424990845,14766.802471588135,1.2907784020011472,0.8184624420850934,1.2907784020011472
GEN,9106.60844618034,9874.356519117362,9106.60844618034,-0.7350085884906784,-0.04415927639610559,-0.7350085884906784
GNRC,11388.118505828861,8385.180753509523,11388.118505828861,0.544425629693215,-0.6857870175000277,0.544425629693215
GD,9295.243805007933,11340.041609252927,11340.041609252927,-0.49483252963232516,1.638715590957231,1.638715590957231
GIS,9319.019364906315,9082.351171394352,9082.351171394352,-0.5959981612365529,-0.9486117523596603,-0.9486117523596603
GM,10475.606704524998,11058.037810348509,11058.037810348509,0.27029778294412626,0.578339761363935,0.578339761363935
GPC,7496.528219802855,11020.800345939631,11020.800345939631,-1.3066175495208407,0.8535177553326763,0.8535177553326763
GILD,11569.26531259155,11841.886655647275,11841.886655647275,0.866403091694779,1.4567546862297014,1.4567546862297014
GPN,8155.608502235412,12863.616854797368,12863.616854797368,-1.110978960685781,1.1440258946885136,1.1440258946885136
GL,10340.375369186404,11651.867216308598,11651.867216308598,0.2636778399295261,1.593743421623211,1.593743421623211
GDDY,9460.704197418207,8357.314121116642,8357.314121116642,-0.28470221985120153,-0.9025472102697082,-0.9025472102697082
GS,14102.579164550778,10592.411365722652,10592.411365722652,2.0291363034233743,0.41763387465677204,0.41763387465677204
HAL,7741.364534454346,9825.460156339639,9825.460156339639,-1.059450964055918,-0.025883436047416507,-0.025883436047416507
HIG,9771.64076020813,10101.754102088933,10101.754102088933,-0.1270757505685181,0.15988561114132724,0.15988561114132724
HAS,11583.126287105566,10202.904035118105,10202.904035118105,0.8256142302692875,0.18815592754617505,0.18815592754617505
HCA,11207.81673977662,10864.081387725826,10864.081387725826,0.720084315828628,0.8639092358300897,0.8639092358300897
DOC,9434.020972892758,9492.777095783233,9492.777095783233,-0.3951676251758,-0.5739902019360541,-0.5739902019360541
HSIC,8764.698571945188,12363.243276069643,12363.243276069643,-0.8957195907347179,1.4833412762016052,1.4833412762016052
HSY,10395.174218902586,9715.162829071043,9715.162829071043,0.2764768664769043,-0.2075173388434328,-0.2075173388434328
HPE,11766.245333944327,9123.262152888296,9123.262152888296,0.7790823475120704,-0.29157342734379693,-0.29157342734379693
HLT,10453.506117721561,10229.164031799311,10229.164031799311,0.3524692374336675,0.23048576978115465,0.23048576978115465
HOLX,9571.440780818937,11123.80815977859,11123.80815977859,-0.41207481386321454,0.7967040789603334,0.7967040789603334
HD,9617.803689758304,10095.140565887456,10095.140565887456,-0.2849670062428961,0.125887808686046,0.125887808686046
HON,8506.140053482057,9799.473046325682,9799.473046325682,-1.1820485241487886,-0.20840381462889757,-0.20840381462889757
HRL,7804.483270875937,10158.528218439098,10158.528218439098,-1.4388876622128477,0.1807110065889499,0.1807110065889499
HST,9890.62471170425,10899.932728425982,10899.932728425982,-0.024983693891093554,0.6642731662670817,0.6642731662670817
HWM,12406.904784477227,9842.11262171173,12406.904784477227,1.0233629410067036,-0.06905296145730482,1.0233629410067036
HPQ,9144.748974809652,7677.05686529732,7677.05686529732,-0.3520672707490545,-1.269281461318817,-1.269281461318817
HUBB,8606.350756317137,11051.921736114498,11051.921736114498,-0.7891682159333304,0.7088561523432028,0.7088561523432028
